"date","state","game","numbers"
2021-06-25,"PA","Midday PICK 2","68, Wild Ball 7"
2021-06-25,"PA","Evening PICK 2","49, Wild Ball 8"
2021-06-25,"PA","Midday PICK 3","231, Wild Ball 7"
2021-06-25,"PA","Evening PICK 3","377, Wild Ball 8"
2021-06-25,"PA","Midday PICK 4","3089, Wild Ball 7"
2021-06-25,"PA","Evening PICK 4","9291, Wild Ball 8"
2021-06-25,"PA","Midday PICK 5","65143, Wild Ball 7"
2021-06-25,"PA","Evening PICK 5","06911, Wild Ball 8"
2021-06-25,"PA","Cash4Life","09, 28, 44, 46, 53"
2021-06-25,"PA","Cash 5","19, 30, 37, 40, 43"
2021-06-25,"PA","Match 6","04, 06, 18, 23, 35, 47"
2021-06-25,"PA","Mega Millions","17, 20, 42, 45, 65"
2021-06-23,"PA","Powerball","13, 20, 40, 51, 63"
2021-06-25,"PA","Treasure Hunt","01, 02, 09, 10, 15"
2021-06-24,"MD","Multi-Match","03, 08, 20, 21, 29, 42"
2021-06-25,"MD","Midday Pick 3","5, 9, 8"
2021-06-25,"MD","Evening Pick 3","7, 4, 3"
2021-06-25,"MD","Midday Pick 4","0, 4, 2, 4"
2021-06-25,"MD","Evening Pick 4","8, 8, 5, 4"
2021-06-25,"MD","Bonus Match 5","01, 11, 26, 32, 37 Bonus Ball 34"
2021-06-25,"MD","Cash4Life","09, 28, 44, 46, 53 Cash Ball 3"
